aX,aY,aZ,gX,gY,gZ
0.548,0.416,1.945,-84.534,-163.635,-42.358
0.522,0.063,1.944,-3.418,-145.813,-70.435
0.440,-0.319,1.804,45.288,-113.586,-86.731
0.393,-0.589,1.604,52.246,-68.115,-77.820
0.400,-0.673,1.326,34.729,-13.367,-49.133
0.459,-0.634,1.020,16.785,34.424,-16.602
0.520,-0.516,0.729,9.460,68.665,13.794
0.576,-0.396,0.432,11.414,87.891,39.551
0.655,-0.252,0.199,13.611,97.229,57.556
0.731,-0.102,0.022,8.240,99.243,66.162
0.887,-0.008,-0.078,0.000,95.947,66.101
0.947,0.087,-0.147,-7.141,87.585,60.608
0.994,0.187,-0.130,-13.733,72.388,52.490
0.999,0.277,-0.049,-17.395,54.993,42.419
0.987,0.323,0.016,-11.536,41.260,30.823
0.955,0.355,0.084,-1.221,33.691,18.066
0.933,0.317,0.115,12.878,29.358,4.333
0.895,0.222,0.113,30.396,27.771,-8.423
0.881,0.124,0.110,42.603,26.062,-17.212
0.886,0.016,0.117,49.683,24.841,-23.621
0.879,-0.095,0.112,53.101,24.780,-27.283
0.852,-0.162,0.103,49.683,24.780,-26.184
0.828,-0.212,0.111,40.955,24.170,-20.630
0.814,-0.196,0.150,30.273,22.888,-12.085
0.787,-0.134,0.188,20.020,23.071,-4.456
0.757,-0.052,0.217,16.785,24.414,0.122
0.715,0.027,0.227,21.667,25.269,2.747
0.714,0.070,0.223,32.715,25.635,1.770
0.730,0.045,0.207,45.593,27.588,-1.648
0.743,0.010,0.159,54.199,31.860,-4.761
0.776,-0.074,0.106,57.617,36.682,-7.690
0.804,-0.161,0.054,54.077,41.931,-9.460
0.818,-0.209,0.008,43.030,45.959,-7.874
0.815,-0.205,-0.004,30.151,45.837,-3.906
0.774,-0.153,-0.002,17.029,42.603,0.488
0.703,-0.061,0.034,5.920,36.438,4.822
0.635,0.021,0.095,1.038,27.649,6.714
0.596,0.071,0.147,4.822,19.897,5.127
0.648,0.043,0.199,14.771,17.029,2.625
0.698,-0.003,0.209,25.940,21.545,0.305
0.762,-0.120,0.177,34.668,31.677,-2.625
0.816,-0.227,0.108,35.034,45.288,-3.235
0.848,-0.307,-0.008,28.259,57.068,-0.488
0.864,-0.353,-0.117,17.578,60.791,5.981
0.852,-0.275,-0.150,2.686,53.955,16.418
0.835,-0.120,-0.118,-10.193,38.452,25.818
0.791,0.007,-0.036,-14.160,22.217,26.672
0.752,0.089,0.050,-13.916,11.169,20.020
0.762,0.102,0.151,-7.202,5.798,10.742
0.805,0.032,0.219,8.057,5.188,1.587
0.855,-0.091,0.225,28.320,10.315,-3.662
0.909,-0.214,0.169,39.734,21.423,-4.150
0.898,-0.278,0.073,39.673,34.424,-0.244
0.882,-0.284,-0.016,29.785,43.701,6.897
0.832,-0.254,-0.093,16.663,44.617,13.611
0.779,-0.191,-0.142,5.554,38.269,19.104
0.729,-0.080,-0.129,-3.479,24.963,23.132
0.690,-0.000,-0.074,-7.690,10.986,21.729
0.730,0.010,0.026,-4.761,-0.244,15.991
0.858,-0.052,0.119,4.944,-4.089,8.911
0.968,-0.182,0.152,19.104,0.305,4.639
0.987,-0.271,0.102,27.527,9.827,6.042
0.995,-0.271,0.042,22.461,20.935,13.733
0.963,-0.221,-0.016,13.550,28.503,21.362
0.899,-0.156,-0.058,7.080,30.579,25.391
0.802,-0.062,-0.077,3.723,26.794,26.367
0.742,0.004,-0.082,1.343,20.874,25.024
0.720,0.039,-0.038,1.465,13.245,21.973
0.772,0.059,0.020,3.479,8.850,20.630
0.899,0.061,0.051,10.254,9.521,21.545
1.026,0.014,0.055,23.560,11.536,21.362
1.083,-0.029,0.018,35.522,14.404,20.752
1.087,-0.062,-0.049,38.757,18.066,20.752
1.074,-0.052,-0.111,35.889,19.043,20.630
1.032,-0.020,-0.146,30.334,15.503,18.677
0.954,0.016,-0.157,23.437,9.888,14.038
0.873,0.034,-0.139,17.090,3.723,8.240
0.841,0.042,-0.094,13.977,-1.465,4.700
0.893,0.032,-0.040,15.198,-5.310,4.883
1.054,-0.048,0.020,22.339,-5.920,5.676
1.132,-0.122,0.003,28.503,-2.136,5.188
1.158,-0.152,-0.019,23.560,4.333,6.226
1.168,-0.165,-0.048,14.343,10.498,7.019
1.154,-0.172,-0.073,9.094,13.428,6.348
1.106,-0.153,-0.106,10.010,12.024,5.493
1.042,-0.118,-0.126,16.846,7.935,5.554
0.977,-0.080,-0.143,28.931,0.916,7.263
0.958,-0.068,-0.131,43.762,-7.141,10.315
1.006,-0.051,-0.107,54.138,-10.986,14.038
1.110,-0.060,-0.068,63.110,-14.099,17.883
1.223,-0.095,-0.043,72.571,-17.029,21.057
1.288,-0.111,-0.050,73.853,-15.198,24.170
1.325,-0.101,-0.087,65.002,-10.071,26.367
1.324,-0.072,-0.149,50.720,-4.211,27.161
1.303,-0.007,-0.197,35.278,-0.366,27.649
1.275,0.122,-0.203,20.569,0.549,29.968
1.255,0.266,-0.177,11.169,-1.221,31.311
1.263,0.358,-0.139,9.399,-4.028,27.832
1.320,0.393,-0.105,13.245,-4.883,21.301
1.409,0.374,-0.111,21.790,-3.052,11.841
1.445,0.280,-0.158,32.349,-2.258,0.488
1.453,0.174,-0.207,37.720,-2.930,-9.033
1.430,0.069,-0.240,38.025,-5.554,-16.113
1.371,-0.015,-0.258,37.354,-10.559,-20.325
1.310,-0.061,-0.245,34.363,-16.724,-20.020
1.254,-0.057,-0.200,26.367,-20.935,-16.968
1.238,-0.025,-0.156,13.306,-19.836,-13.184
1.245,0.018,-0.110,-0.061,-14.282,-10.193
1.257,0.050,-0.082,-6.348,-9.033,-9.521
1.272,0.066,-0.060,-4.333,-6.042,-10.193
1.280,0.047,-0.065,4.395,-6.409,-12.329
1.276,-0.000,-0.062,14.282,-8.972,-15.442
1.273,-0.039,-0.063,17.517,-9.949,-18.494
1.259,-0.083,-0.051,15.076,-9.033,-21.301
1.195,-0.120,-0.055,13.611,-8.606,-23.254
1.192,-0.140,-0.052,6.226,-5.005,-20.508
1.179,-0.142,-0.078,-1.526,0.366,-14.954
1.193,-0.112,-0.087,-5.798,3.296,-9.583
1.221,-0.069,-0.079,-9.216,4.761,-5.798
-0.436,1.321,2.626,-362.122,-297.058,16.357
0.096,1.148,3.105,-286.072,-248.840,-2.502
0.512,0.694,3.360,-153.503,-217.407,-34.790
0.561,0.083,3.406,-9.949,-199.219,-69.580
0.207,-0.606,3.162,118.164,-166.016,-96.558
-0.080,-1.129,2.396,177.673,-77.637,-89.294
-0.059,-1.266,1.398,146.240,47.485,-43.396
0.116,-1.104,0.464,65.491,155.334,13.855
0.323,-0.775,-0.329,-11.597,215.271,67.688
0.605,-0.373,-0.856,-51.270,219.116,102.051
0.824,-0.016,-1.143,-49.927,177.551,116.455
0.987,0.213,-1.173,-45.532,117.004,110.474
1.058,0.362,-0.934,-57.556,67.810,90.881
1.050,0.421,-0.633,-78.064,38.757,65.002
0.975,0.446,-0.366,-78.247,19.592,39.856
0.933,0.456,-0.144,-54.749,2.686,22.522
0.932,0.448,-0.016,-15.930,-10.254,10.498
0.947,0.397,0.046,18.555,-16.663,-0.793
0.969,0.310,0.075,39.001,-17.456,-13.000
0.951,0.202,0.105,48.218,-14.771,-25.513
0.911,0.074,0.116,54.871,-12.756,-35.645
0.862,-0.048,0.119,59.692,-9.766,-41.443
0.828,-0.129,0.110,60.242,-6.226,-41.565
0.816,-0.155,0.128,53.406,-1.221,-37.048
0.817,-0.145,0.132,41.626,6.409,-30.884
0.819,-0.115,0.135,31.250,13.245,-25.818
0.814,-0.078,0.138,25.085,17.578,-22.217
0.807,-0.036,0.164,22.644,17.883,-20.569
0.818,-0.036,0.197,24.719,16.846,-21.667
0.818,-0.078,0.202,34.546,14.343,-24.292
0.799,-0.122,0.193,45.410,12.573,-23.865
0.805,-0.169,0.182,48.950,13.916,-20.813
0.816,-0.214,0.180,44.006,18.311,-16.785
0.803,-0.211,0.181,32.410,23.865,-10.681
0.774,-0.161,0.180,19.714,27.893,-3.479
0.747,-0.087,0.186,11.536,28.381,3.784
0.702,0.020,0.216,8.057,25.513,9.155
0.637,0.111,0.258,10.803,21.545,7.935
0.643,0.113,0.328,22.827,18.494,1.526
0.669,0.048,0.328,44.678,22.522,-4.517
0.648,-0.038,0.231,64.148,32.471,-7.263
0.672,-0.149,0.136,71.472,43.152,-7.080
0.702,-0.230,0.056,65.125,53.528,-3.784
0.710,-0.234,-0.005,47.546,62.744,1.892
0.671,-0.176,-0.052,27.466,68.298,7.996
0.630,-0.095,-0.089,14.038,65.918,11.597
0.597,-0.038,-0.093,8.850,55.420,11.230
0.699,-0.077,-0.037,14.343,41.199,8.362
0.799,-0.149,-0.001,26.978,32.288,6.042
0.821,-0.223,0.005,34.180,32.227,1.587
0.826,-0.320,0.000,32.532,40.222,-2.502
0.852,-0.407,-0.047,28.381,49.683,-2.625
0.811,-0.435,-0.108,23.621,55.054,2.502
0.789,-0.402,-0.169,14.526,55.969,13.062
0.747,-0.303,-0.207,5.981,50.903,23.926
0.710,-0.197,-0.204,3.418,39.246,30.457
0.692,-0.099,-0.181,5.981,25.452,31.067
0.779,-0.050,-0.131,6.592,16.724,29.297
0.933,-0.070,-0.071,6.226,14.771,24.536
0.991,-0.160,-0.096,8.240,18.738,17.517
1.006,-0.219,-0.125,6.958,23.315,13.916
0.993,-0.245,-0.122,3.052,24.597,13.855
0.928,-0.247,-0.121,2.686,23.560,15.625
0.857,-0.192,-0.107,6.409,20.447,20.813
0.803,-0.137,-0.094,11.963,16.479,26.794
0.788,-0.083,-0.084,13.611,16.541,30.518
0.811,-0.007,-0.084,10.071,19.897,33.081
0.979,0.019,-0.067,4.639,26.367,34.119
1.094,0.038,-0.078,3.296,33.997,33.569
1.138,0.067,-0.115,3.479,39.795,31.128
1.133,0.064,-0.168,8.240,42.664,26.001
1.095,0.039,-0.241,15.869,40.649,18.860
1.013,0.014,-0.287,23.804,32.837,11.780
0.905,-0.017,-0.321,28.625,23.193,7.446
0.808,-0.041,-0.336,28.931,13.306,6.958
0.782,-0.065,-0.314,25.879,4.395,9.216
0.901,-0.048,-0.231,20.325,-0.610,13.794
1.059,-0.004,-0.133,15.076,-1.038,18.555
1.151,-0.018,-0.086,16.479,2.747,16.724
1.159,-0.064,-0.097,18.616,9.705,10.620
1.131,-0.101,-0.133,17.212,16.541,6.836
1.076,-0.117,-0.181,16.907,17.944,7.629
1.018,-0.084,-0.212,19.714,13.062,12.085
0.949,-0.046,-0.242,23.926,6.104,16.479
0.872,-0.011,-0.266,28.748,-0.610,19.043
0.828,0.003,-0.264,29.663,-5.859,20.264
0.840,0.046,-0.236,29.053,-7.568,21.973
0.923,0.095,-0.192,31.982,-7.935,25.085
1.008,0.125,-0.169,41.931,-7.324,26.428
1.080,0.101,-0.179,54.077,-6.348,24.902
1.161,0.054,-0.200,63.965,-6.470,22.095
1.181,0.049,-0.197,65.430,-8.301,19.104
1.200,0.070,-0.208,60.486,-9.338,14.038
1.163,0.089,-0.204,51.514,-10.132,6.287
1.090,0.065,-0.217,42.053,-11.475,-1.221
1.024,0.049,-0.229,31.433,-11.108,-5.188
0.993,0.056,-0.233,22.461,-10.193,-6.836
1.038,0.044,-0.227,16.907,-7.202,-7.385
1.111,0.012,-0.244,14.709,-2.441,-7.324
1.203,-0.049,-0.281,15.991,1.038,-7.507
1.260,-0.075,-0.299,17.212,1.099,-6.042
1.274,-0.081,-0.305,16.907,-1.282,-4.700
1.258,-0.102,-0.312,19.409,-3.174,-4.456
1.221,-0.103,-0.339,23.560,-4.761,-3.113
1.208,-0.094,-0.359,25.635,-7.385,0.000
1.229,-0.073,-0.379,24.536,-8.911,4.028
1.272,-0.033,-0.374,15.747,-8.850,7.812
1.348,0.012,-0.357,5.371,-6.775,8.850
1.414,0.027,-0.344,-1.282,-3.967,5.859
1.442,-0.004,-0.354,-3.479,-2.075,0.610
1.422,-0.039,-0.365,-2.380,-3.113,-3.418
1.407,-0.061,-0.361,1.526,-6.775,-4.639
1.374,-0.047,-0.361,4.333,-9.827,-4.822
1.369,-0.019,-0.344,2.563,-10.864,-4.517
1.380,0.010,-0.306,-1.343,-10.254,-4.639
1.393,0.033,-0.276,-1.526,-10.010,-5.310
1.401,0.039,-0.248,0.549,-9.644,-6.836
1.406,0.018,-0.224,1.831,-8.606,-8.606
1.417,-0.003,-0.196,-1.099,-6.531,-9.277
0.651,1.232,2.297,-263.184,-201.904,-10.864
0.899,0.975,2.784,-145.203,-209.290,-58.655
0.805,0.500,3.055,-0.061,-212.708,-106.384
0.401,-0.139,2.956,122.864,-186.523,-140.686
0.062,-0.756,2.335,187.378,-108.093,-140.564
-0.037,-1.144,1.410,181.030,4.272,-101.196
0.052,-1.168,0.504,122.131,107.117,-36.987
0.287,-0.944,-0.166,54.749,168.091,27.954
0.566,-0.584,-0.693,10.742,186.096,76.782
0.832,-0.221,-0.975,-13.428,164.673,99.182
1.012,0.029,-1.049,-27.283,119.995,98.083
1.092,0.216,-0.926,-45.288,72.571,83.374
1.045,0.349,-0.619,-71.228,33.691,60.181
0.942,0.413,-0.306,-87.402,10.315,33.569
0.880,0.438,-0.041,-82.214,-1.831,13.123
0.856,0.427,0.106,-55.542,-6.592,-1.099
0.904,0.367,0.142,-16.296,-6.531,-11.108
0.942,0.283,0.123,21.179,-3.662,-20.447
0.955,0.188,0.100,45.105,0.488,-30.029
0.935,0.117,0.115,58.533,1.526,-40.161
0.900,0.067,0.167,65.552,-0.183,-48.157
0.865,0.017,0.234,71.838,-1.587,-52.612
0.843,-0.010,0.282,77.393,0.366,-54.321
0.816,-0.023,0.315,84.839,4.700,-55.664
0.814,-0.060,0.300,91.980,13.489,-55.176
0.776,-0.141,0.224,99.182,25.085,-53.894
0.767,-0.206,0.078,103.455,37.537,-50.415
0.791,-0.229,-0.041,94.788,47.180,-41.992
0.815,-0.224,-0.123,79.041,51.758,-32.227
0.829,-0.204,-0.159,60.425,51.819,-25.696
0.853,-0.210,-0.144,43.640,47.852,-22.766
0.855,-0.200,-0.149,34.241,39.795,-21.484
0.862,-0.216,-0.118,26.672,29.663,-21.057
0.854,-0.226,-0.070,18.188,20.203,-20.752
0.837,-0.245,-0.006,11.414,11.353,-20.386
0.812,-0.253,0.049,5.920,6.470,-18.494
0.782,-0.225,0.090,3.906,3.235,-14.343
0.758,-0.197,0.136,4.211,1.526,-9.705
0.702,-0.145,0.165,5.432,3.113,-6.165
0.623,-0.075,0.187,7.629,5.066,-4.761
0.603,-0.036,0.221,11.536,6.653,-5.737
0.632,-0.056,0.244,22.766,9.827,-8.545
0.643,-0.096,0.192,39.307,16.235,-10.681
0.680,-0.174,0.125,51.880,22.949,-11.963
0.744,-0.289,0.065,55.237,31.189,-11.963
0.777,-0.359,-0.018,47.668,41.016,-7.935
0.760,-0.375,-0.087,33.630,45.959,-2.380
0.708,-0.338,-0.104,16.785,44.983,3.723
0.627,-0.263,-0.091,2.380,39.246,10.620
0.551,-0.157,-0.052,-6.165,29.541,16.846
0.504,-0.060,-0.005,-10.498,19.897,20.569
0.581,-0.027,0.081,-10.681,13.977,20.813
0.703,-0.084,0.147,-1.587,14.771,19.104
0.784,-0.143,0.156,14.404,22.095,16.052
0.813,-0.226,0.130,27.771,33.813,12.695
0.842,-0.300,0.059,35.217,47.058,9.705
0.797,-0.344,-0.033,34.424,59.570,9.949
0.773,-0.332,-0.128,23.315,66.467,13.123
0.732,-0.280,-0.183,11.475,64.880,19.470
0.684,-0.215,-0.226,8.118,55.237,25.269
0.715,-0.136,-0.223,5.798,40.955,30.823
0.850,-0.144,-0.160,4.150,27.893,32.898
0.961,-0.175,-0.151,9.766,21.301,31.189
0.985,-0.190,-0.139,17.822,18.127,27.832
0.962,-0.224,-0.151,22.522,16.846,24.292
0.961,-0.276,-0.166,26.184,15.930,23.254
0.876,-0.211,-0.134,22.644,12.268,26.794
0.819,-0.127,-0.098,21.240,9.155,33.020
0.732,-0.044,-0.085,20.142,9.705,37.170
0.714,0.025,-0.066,16.785,13.489,38.757
0.770,0.052,-0.055,14.343,18.555,38.269
0.919,0.024,-0.047,17.273,23.865,35.706
1.055,-0.049,-0.076,25.330,28.503,30.884
1.092,-0.114,-0.149,34.668,30.273,26.184
1.084,-0.145,-0.214,37.354,28.503,24.292
1.040,-0.161,-0.264,35.767,23.437,24.902
0.971,-0.124,-0.277,30.090,15.747,26.428
0.902,-0.036,-0.262,19.653,7.751,29.602
0.837,0.064,-0.207,10.620,2.014,31.250
0.807,0.138,-0.137,5.737,1.038,29.480
0.847,0.188,-0.089,8.667,5.676,27.710
0.964,0.176,-0.093,16.907,13.062,26.611
1.112,0.095,-0.135,27.649,20.142,23.926
1.153,0.032,-0.168,31.433,23.254,18.738
1.143,-0.024,-0.221,26.855,25.574,12.573
1.131,-0.047,-0.271,22.766,26.123,7.812
1.084,-0.038,-0.307,19.470,21.790,4.578
1.032,-0.040,-0.356,20.020,14.282,2.136
0.974,-0.060,-0.402,23.621,4.822,0.122
0.926,-0.083,-0.423,23.499,-3.418,-0.305
0.982,-0.113,-0.408,19.409,-7.080,1.099
1.116,-0.156,-0.376,17.456,-8.118,2.258
1.191,-0.219,-0.361,20.325,-8.789,1.709
1.228,-0.281,-0.359,23.926,-9.949,0.977
1.253,-0.341,-0.371,29.663,-12.817,3.296
1.240,-0.313,-0.343,32.837,-17.822,10.681
1.219,-0.220,-0.318,34.729,-20.935,19.836
1.206,-0.136,-0.302,39.734,-20.752,27.100
1.176,-0.071,-0.340,43.884,-17.151,31.128
1.145,-0.001,-0.376,42.542,-12.024,34.119
1.183,0.051,-0.387,37.354,-7.751,36.133
1.240,0.085,-0.420,35.217,-4.333,36.316
1.316,0.109,-0.440,34.058,-2.441,34.363
1.372,0.117,-0.454,32.898,-3.235,28.748
1.388,0.086,-0.463,33.813,-7.324,20.020
1.353,0.055,-0.446,33.081,-13.428,11.841
1.282,0.036,-0.390,28.503,-19.775,6.348
1.219,0.022,-0.326,25.452,-25.024,4.822
1.199,0.040,-0.266,22.156,-27.466,7.385
1.192,0.089,-0.198,14.587,-25.818,11.047
1.202,0.107,-0.192,9.277,-20.020,13.000
1.236,0.122,-0.209,7.263,-14.526,14.282
1.275,0.145,-0.216,3.296,-11.719,14.893
1.319,0.161,-0.207,-1.770,-9.216,11.902
1.328,0.160,-0.213,-4.578,-7.690,5.859
1.345,0.144,-0.211,-5.371,-7.690,0.366
1.358,0.127,-0.197,-5.249,-8.362,-2.625
1.361,0.135,-0.180,-3.784,-8.850,-3.906
1.381,0.140,-0.192,-0.549,-7.080,-4.456
-0.455,0.889,1.989,-245.117,-202.637,-1.465
-0.062,0.995,1.960,-238.525,-134.644,3.540
0.314,0.855,1.860,-194.336,-99.548,-8.606
0.613,0.486,1.778,-119.080,-97.290,-34.485
0.737,-0.021,1.784,-37.048,-114.197,-65.552
0.607,-0.480,1.834,19.592,-120.728,-93.140
0.283,-0.885,1.771,49.927,-103.210,-104.309
0.098,-1.141,1.414,69.946,-59.570,-85.327
0.130,-1.137,0.880,61.768,0.671,-40.222
0.270,-0.945,0.374,30.701,55.237,8.240
0.445,-0.695,-0.056,-0.916,92.224,47.119
0.571,-0.432,-0.363,-21.545,108.521,72.449
0.688,-0.150,-0.500,-38.879,108.398,85.205
0.838,0.040,-0.574,-50.110,98.145,84.167
0.920,0.186,-0.529,-62.744,83.618,73.914
0.923,0.316,-0.374,-70.984,69.092,55.908
0.942,0.390,-0.213,-60.791,54.993,39.368
0.943,0.435,-0.104,-34.058,40.527,25.208
0.951,0.407,-0.037,1.831,27.893,10.681
0.917,0.316,-0.016,35.095,18.066,-3.784
0.870,0.173,-0.036,61.401,11.353,-15.686
0.827,0.008,-0.098,79.224,8.728,-22.156
0.800,-0.120,-0.190,82.458,10.864,-21.606
0.808,-0.212,-0.284,69.885,15.930,-15.137
0.832,-0.217,-0.348,47.058,20.996,-6.775
0.850,-0.143,-0.343,21.973,22.644,-0.122
0.859,-0.055,-0.294,4.517,20.508,1.709
0.836,0.005,-0.214,-0.671,13.550,-1.587
0.795,0.037,-0.114,3.418,3.723,-7.629
0.748,0.043,-0.006,12.695,-7.141,-15.625
0.758,-0.035,0.096,27.405,-16.235,-23.071
0.746,-0.121,0.133,44.128,-18.433,-26.794
0.760,-0.207,0.140,52.612,-13.733,-25.757
0.771,-0.296,0.105,55.542,-4.761,-21.606
0.751,-0.337,0.071,46.875,4.944,-14.587
0.738,-0.315,0.059,26.123,14.709,-5.737
0.723,-0.243,0.077,4.883,21.057,2.441
0.703,-0.159,0.104,-10.315,23.865,8.789
0.667,-0.052,0.125,-18.127,24.231,12.268
0.662,0.031,0.151,-16.235,22.583,12.207
0.689,0.043,0.168,-1.038,20.325,8.057
0.732,-0.012,0.158,23.376,19.897,2.441
0.768,-0.093,0.122,46.387,23.315,-1.221
0.786,-0.166,0.060,59.875,30.212,-3.174
0.823,-0.249,0.017,56.396,40.588,-2.869
0.845,-0.293,-0.023,42.480,51.941,-0.916
0.816,-0.273,-0.064,25.146,58.777,4.639
0.789,-0.206,-0.103,8.484,60.913,14.587
0.768,-0.097,-0.122,-4.333,58.533,23.682
0.751,0.025,-0.118,-11.353,50.720,27.649
0.791,0.069,-0.096,-8.240,40.833,26.306
0.879,0.053,-0.057,5.615,32.288,20.935
0.912,0.006,-0.040,24.658,28.076,13.428
0.926,-0.052,-0.043,38.940,29.480,5.371
