aX,aY,aZ,gX,gY,gZ
1.811,0.488,0.662,84.229,-53.284,42.419
1.836,0.686,0.707,99.365,-59.021,35.950
1.849,0.897,0.734,110.413,-65.002,20.264
1.778,1.102,0.795,121.033,-68.298,-2.502
1.633,1.262,0.820,124.939,-64.392,-31.128
1.390,1.387,0.830,120.422,-56.763,-63.110
1.034,1.443,0.831,111.389,-47.913,-93.933
0.593,1.409,0.798,103.149,-38.940,-122.742
0.049,1.254,0.750,90.698,-24.841,-150.391
-0.605,1.132,0.747,75.378,-7.507,-176.270
-1.306,0.840,0.683,68.665,20.569,-204.041
-2.108,0.432,0.675,51.819,57.922,-214.966
-3.135,0.174,0.564,21.667,87.341,-194.641
-4.000,0.046,0.557,-10.925,96.313,-190.308
-4.000,-0.438,0.656,-41.809,73.853,-238.831
-4.000,-1.327,0.794,-72.144,15.076,-302.307
-3.362,-2.443,1.005,-105.164,-74.219,-331.055
-2.178,-3.717,1.277,-140.320,-157.410,-322.571
-1.381,-4.000,1.821,-183.960,-202.576,-287.964
0.115,-4.000,2.570,-314.575,-212.646,-209.290
1.785,-4.000,2.195,-317.749,-209.045,21.301
0.696,-1.958,2.434,-6.714,-40.771,229.187
-0.997,0.281,2.483,245.117,155.334,255.798
-1.553,2.118,2.035,322.205,211.060,233.643
-1.114,3.007,1.131,229.431,166.748,199.951
-0.695,2.954,0.416,27.771,109.253,140.686
-0.580,2.179,-0.009,-128.723,57.312,64.941
-0.396,1.304,-0.010,-175.903,4.028,-6.531
-0.251,0.554,0.223,-152.893,-34.363,-57.922
-0.274,-0.010,0.516,-104.736,-53.284,-84.900
-0.267,-0.408,0.805,-57.129,-60.486,-93.018
-0.236,-0.675,1.017,-25.391,-60.547,-86.975
-0.193,-0.807,1.153,-15.320,-57.556,-68.604
-0.148,-0.823,1.241,-14.832,-50.720,-44.189
-0.110,-0.741,1.282,-10.803,-35.950,-21.790
-0.130,-0.601,1.202,-0.488,-13.550,-4.761
-0.196,-0.470,1.041,8.118,9.766,6.470
-0.272,-0.360,0.867,8.423,24.780,14.221
-0.312,-0.283,0.724,5.249,27.893,18.555
-0.338,-0.219,0.637,5.432,23.254,20.691
-0.336,-0.172,0.614,11.353,13.733,21.667
-0.324,-0.149,0.663,20.020,2.075,20.203
-0.314,-0.165,0.760,26.001,-7.996,16.541
-0.285,-0.220,0.858,27.466,-15.015,11.902
-0.261,-0.278,0.949,22.095,-18.799,9.705
-0.275,-0.339,1.013,10.864,-18.433,10.742
-0.283,-0.387,1.047,0.305,-15.198,12.390
