aX,aY,aZ,gX,gY,gZ
0.696,-0.001,-0.437,25.574,-104.919,-19.104
0.718,0.004,-0.409,29.663,-105.713,-18.860
0.737,0.011,-0.391,31.738,-105.591,-18.311
0.746,0.024,-0.373,32.166,-105.103,-17.761
0.463,-0.626,1.529,-67.749,82.397,22.461
0.451,-0.600,1.507,-63.416,96.436,26.306
0.422,-0.550,1.427,-55.847,113.647,29.541
0.385,-0.497,1.316,-46.570,130.554,32.349
0.347,-0.427,1.198,-38.330,144.470,35.217
0.282,-0.344,1.103,-35.156,153.809,38.757
0.232,-0.274,1.033,-36.560,159.363,40.344
0.217,-0.245,0.980,-41.565,163.452,37.476
0.181,-0.236,0.943,-48.218,165.466,33.997
0.164,-0.235,0.922,-52.856,165.894,30.396
0.195,-0.261,0.920,-51.514,168.823,26.794
0.216,-0.279,0.925,-49.438,174.316,25.635
0.219,-0.270,0.918,-48.218,182.739,28.015
0.233,-0.259,0.878,-45.410,194.702,30.334
0.239,-0.248,0.817,-44.373,207.947,33.264
0.237,-0.249,0.752,-48.035,221.558,38.513
0.203,-0.223,0.673,-56.091,233.582,45.776
0.149,-0.187,0.596,-64.453,244.873,51.453
0.112,-0.154,0.510,-71.594,254.822,53.162
0.087,-0.128,0.414,-80.566,262.451,52.429
0.060,-0.117,0.314,-90.698,268.066,50.598
0.034,-0.124,0.206,-99.182,273.254,46.265
0.020,-0.154,0.081,-102.417,278.381,40.283
0.006,-0.185,-0.016,-101.257,280.457,34.973
0.005,-0.223,-0.066,-98.511,279.724,31.921
0.011,-0.239,-0.134,-93.445,279.419,31.860
-0.019,-0.244,-0.179,-85.205,281.921,32.349
-0.046,-0.247,-0.226,-76.660,283.386,33.936
-0.061,-0.254,-0.249,-73.181,283.081,36.621
-0.062,-0.256,-0.255,-73.181,281.860,41.016
-0.064,-0.231,-0.241,-75.012,281.494,46.326
-0.069,-0.192,-0.220,-74.829,282.776,50.659
-0.071,-0.160,-0.208,-72.693,287.903,52.307
-0.101,-0.141,-0.192,-72.449,294.189,53.589
-0.162,-0.138,-0.173,-77.271,300.354,54.871
-0.262,-0.162,-0.149,-88.074,308.655,55.664
-0.390,-0.208,-0.118,-101.624,319.763,56.213
-0.538,-0.260,-0.107,-115.295,336.670,57.129
-0.727,-0.281,-0.143,-128.418,358.765,60.181
-0.953,-0.234,-0.297,-144.165,382.996,64.026
-1.200,-0.188,-0.554,-168.335,406.494,63.416
-1.410,-0.190,-0.913,-201.538,422.302,54.993
-1.553,-0.358,-1.307,-246.582,426.025,40.222
-1.562,-0.590,-1.701,-294.006,416.321,21.851
-1.430,-0.838,-2.140,-325.256,401.550,1.160
-1.163,-0.980,-2.685,-325.134,388.794,-15.503
-0.901,-1.064,-3.189,-282.227,378.601,-28.503
-0.791,-1.011,-3.798,-196.838,373.840,-33.875
-0.869,-0.804,-4.000,-92.651,355.042,-27.710
-0.856,-0.626,-4.000,-14.954,278.687,-15.564
-0.671,-0.505,-3.962,16.357,145.630,-3.357
-0.380,-0.429,-3.123,19.836,14.526,7.812
-0.127,-0.400,-2.307,27.161,-65.430,13.794
0.038,-0.386,-1.743,42.358,-93.872,15.686
0.181,-0.430,-1.302,60.364,-95.520,10.559
0.303,-0.454,-1.040,66.406,-82.703,10.620
0.352,-0.425,-0.880,59.448,-64.941,15.869
0.351,-0.324,-0.866,52.917,-41.748,20.813
0.284,-0.214,-0.949,49.744,-15.381,21.545
0.197,-0.132,-1.098,42.969,6.409,18.005
0.124,-0.102,-1.240,27.954,17.090,12.451
0.084,-0.127,-1.336,7.324,16.418,6.592
0.079,-0.206,-1.393,-9.033,11.353,1.282
0.086,-0.295,-1.428,-15.991,6.653,-2.686
0.096,-0.390,-1.473,-14.587,4.822,-6.042
0.102,-0.461,-1.505,-7.690,2.808,-6.958
0.103,-0.485,-1.521,2.197,-1.038,-4.639
0.111,-0.461,-1.519,12.573,-6.165,-1.404
0.112,-0.398,-1.495,19.775,-12.451,2.502
0.109,-0.336,-1.463,24.231,-18.494,5.310
0.108,-0.281,-1.433,27.283,-24.414,6.165
0.100,-0.240,-1.409,28.564,-29.846,5.676
0.096,-0.207,-1.389,26.367,-36.804,4.944
0.098,-0.203,-1.369,22.278,-43.396,3.479
0.103,-0.214,-1.357,19.470,-48.889,2.014
0.098,-0.219,-1.358,18.616,-53.162,1.221
0.081,-0.219,-1.357,18.921,-57.190,1.221
0.077,-0.213,-1.342,20.996,-62.256,0.610
0.071,-0.198,-1.329,25.146,-66.833,-0.183
0.067,-0.179,-1.323,30.579,-70.618,-1.160
0.070,-0.165,-1.298,34.790,-75.317,-2.380
0.090,-0.159,-1.263,36.804,-80.688,-3.479
0.100,-0.160,-1.235,36.194,-84.351,-4.089
0.098,-0.158,-1.240,34.424,-86.426,-4.028
0.082,-0.153,-1.269,33.508,-88.684,-4.578
0.067,-0.154,-1.313,33.264,-92.102,-5.615
0.049,-0.148,-1.366,32.104,-96.619,-7.019
0.028,-0.145,-1.412,31.555,-102.539,-8.789
0.010,-0.146,-1.437,31.555,-110.779,-10.864
0.010,-0.142,-1.435,32.288,-121.338,-12.451
0.023,-0.137,-1.392,32.471,-133.240,-13.367
0.046,-0.126,-1.319,30.273,-145.691,-13.855
0.071,-0.120,-1.244,25.696,-156.677,-13.855
0.105,-0.122,-1.166,22.583,-164.795,-14.404
0.146,-0.166,-1.107,24.048,-169.128,-14.832
0.189,-0.179,-1.072,29.297,-169.861,-14.526
0.186,-0.183,-1.063,36.987,-167.908,-13.245
0.185,-0.193,-1.052,45.837,-166.687,-13.184
0.208,-0.200,-1.030,53.650,-168.091,-13.611
0.229,-0.178,-1.012,55.969,-172.180,-12.695
0.268,-0.153,-0.959,54.565,-178.345,-11.169
0.286,-0.127,-0.886,51.086,-184.692,-10.559
0.327,-0.099,-0.822,51.880,-189.514,-10.071
0.349,-0.077,-0.740,50.415,-192.566,-8.728
0.380,-0.073,-0.665,50.171,-192.932,-8.789
0.403,-0.057,-0.630,50.537,-189.697,-9.949
0.418,-0.061,-0.610,47.241,-185.730,-11.475
0.451,-0.073,-0.591,43.335,-182.800,-12.634
0.462,-0.089,-0.583,40.588,-178.467,-13.123
0.478,-0.092,-0.600,41.809,-175.964,-13.977
0.492,-0.098,-0.589,43.396,-175.049,-13.855
0.502,-0.102,-0.568,46.753,-175.537,-13.550
0.511,-0.097,-0.525,48.889,-177.612,-12.390
0.522,-0.082,-0.476,49.744,-180.054,-10.376
0.533,-0.064,-0.434,49.194,-181.519,-10.010
0.551,-0.070,-0.386,49.011,-182.251,-10.864
0.583,-0.088,-0.304,47.180,-185.730,-11.536
0.613,-0.084,-0.220,45.044,-187.378,-11.475
0.626,-0.079,-0.183,44.678,-183.044,-11.414
-1.758,-0.209,-1.731,-238.159,443.604,48.218
-1.734,-0.396,-2.314,-280.884,425.842,21.973
-1.496,-0.691,-2.881,-307.190,390.259,-8.362
-1.060,-0.910,-3.373,-307.129,344.543,-30.640
-0.573,-0.968,-3.781,-267.761,299.866,-40.833
-0.335,-0.903,-4.000,-188.599,267.334,-41.870
-0.408,-0.793,-4.000,-98.694,232.727,-33.997
-0.388,-0.676,-4.000,-24.780,153.931,-20.508
-0.185,-0.498,-3.401,20.996,43.457,-5.554
0.036,-0.423,-2.379,45.105,-40.222,3.174
0.220,-0.339,-1.656,62.012,-75.867,4.700
0.308,-0.297,-1.185,70.251,-77.087,3.174
0.367,-0.293,-0.881,66.101,-65.979,1.709
0.434,-0.332,-0.630,56.763,-53.406,0.977
0.516,-0.344,-0.493,51.331,-37.109,2.075
0.513,-0.303,-0.471,49.866,-12.756,5.615
0.436,-0.229,-0.583,42.664,16.663,8.728
0.335,-0.162,-0.782,29.724,40.955,9.766
0.259,-0.115,-0.979,8.484,53.528,10.437
0.224,-0.110,-1.152,-11.597,58.716,8.301
0.191,-0.166,-1.321,-25.574,61.279,2.808
0.167,-0.245,-1.511,-32.043,61.707,-2.563
0.142,-0.318,-1.676,-33.691,56.763,-6.348
0.114,-0.393,-1.785,-34.912,46.631,-6.897
0.116,-0.436,-1.849,-29.175,32.471,-5.920
0.119,-0.480,-1.833,-17.883,16.052,-4.150
0.146,-0.483,-1.779,-3.845,-0.061,-1.526
0.170,-0.427,-1.670,9.766,-14.526,2.869
0.186,-0.368,-1.572,21.057,-25.635,6.531
0.198,-0.317,-1.493,29.785,-32.654,8.301
0.201,-0.268,-1.433,33.936,-38.757,9.766
